audio_file,target_word,participant_id,native_language,l1_condition,condition,accent_condition,pronunciation_condition,talker,pass_number,trial_number,word_number,take_number,spoken_form,expert_comprehensibility_1_9,expert_accentedness_1_9,expert_accentedness_range,practice_note,source_format
https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/practice/calibration/eng_female_appreciation_practice.wav,appreciation,practice_eng_female,ENG,ENG,practice,natural,natural,practice_eng_female,,1,1,,appreciation,,,1–3,Researcher-supplied calibration WAV; expert Accentedness reference range 1–3; scalar expert ratings are not available,researcher_calibration_wav
https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/practice/calibration/jpn_male_pesticide_practice.wav,pesticide,practice_jpn_male,JPN,JPN,practice,accented,accented,practice_jpn_male,,2,2,,pesticide,,,3–5,Researcher-supplied calibration WAV; expert Accentedness reference range 3–5; scalar expert ratings are not available,researcher_calibration_wav
https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/practice/calibration/jpn_female_quality_practice.wav,quality,practice_jpn_female,JPN,JPN,practice,accented,accented,practice_jpn_female,,3,3,,quality,,,5–7,Researcher-supplied calibration WAV; expert Accentedness reference range 5–7; scalar expert ratings are not available,researcher_calibration_wav
https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/practice/calibration/chn_female_pizza_practice.wav,pizza,practice_chn_female,CHN,CHN,practice,accented,accented,practice_chn_female,,4,4,,pizza,,,7–9,Researcher-selected calibration WAV; expert Accentedness reference range 7–9; scalar expert ratings are not available,researcher_calibration_wav
